signal,ece,brier,mean_prob,test_accuracy,n_test
model_conf (raw),0.020049774523094758,0.15114802380216485,0.32696065306663513,0.3089599609375,32768
model_conf (calibrated),0.02347777041820774,0.15146316376044627,0.3087495728786234,0.3089599609375,32768
variation_ratio (calibrated),0.03430704780650185,0.2010772531560613,0.31044177475988505,0.3089599609375,32768
selective(alpha=0.1),,,0.0,nan,0
