lam_draft,k,method,auroc_err,spearman_nll,mean_correct,mean_wrong,separation,err_rate,n_positions
0.5,8,epistemic_MI,0.6260254372759891,0.24858581339117225,0.043751612305641174,0.05416112020611763,0.010409507900476456,0.6905059814453125,65536
0.5,8,variation_ratio,0.6411252693377505,0.2285369137324647,0.0755189061164856,0.16997767984867096,0.09445877373218536,0.6905059814453125,65536
0.5,8,prob_var,0.36087924308486574,-0.26539621741954067,0.004326710943132639,0.002208362566307187,-0.002118348376825452,0.6905059814453125,65536
0.5,8,subnet_full_kl,0.6117830691429267,0.2171777470633692,0.18129165470600128,0.20915572345256805,0.027864068746566772,0.6905059814453125,65536
0.5,8,full_entropy,0.7765744208107959,0.5985290822269457,2.7309677600860596,4.599338531494141,1.868370771408081,0.6905059814453125,65536
1.0,8,epistemic_MI,0.59307622817202,0.16656279749531377,0.02607976831495762,0.03004579432308674,0.00396602600812912,0.6905059814453125,65536
1.0,8,variation_ratio,0.6052428780012726,0.17387967896955558,0.06330424547195435,0.1298532634973526,0.06654901802539825,0.6905059814453125,65536
1.0,8,prob_var,0.35454673353899874,-0.28591032656569926,0.0028081166092306376,0.001320348703302443,-0.0014877679059281945,0.6905059814453125,65536
1.0,8,subnet_full_kl,0.597061201047147,0.18641775704816702,0.2363303154706955,0.2598270773887634,0.023496761918067932,0.6905059814453125,65536
1.0,8,full_entropy,0.7765744208107959,0.5985290822269457,2.7309677600860596,4.599338531494141,1.868370771408081,0.6905059814453125,65536
2.0,8,epistemic_MI,0.5747844012134056,0.13017014458653509,0.036304961889982224,0.040200188755989075,0.003895226866006851,0.6905059814453125,65536
2.0,8,variation_ratio,0.6113047365611787,0.18070739058715982,0.07565449178218842,0.14746536314487457,0.07181087136268616,0.6905059814453125,65536
2.0,8,prob_var,0.34833954558139446,-0.302934948986409,0.003956098575145006,0.001745818997733295,-0.002210279577411711,0.6905059814453125,65536
2.0,8,subnet_full_kl,0.582833454319869,0.1600678009531924,0.30461201071739197,0.3252246081829071,0.020612597465515137,0.6905059814453125,65536
2.0,8,full_entropy,0.7765744208107959,0.5985290822269457,2.7309677600860596,4.599338531494141,1.868370771408081,0.6905059814453125,65536
