mode,lam_target,target_model,lam_draft,K,c,n_gen,p_agree_real,token_error_real,full_calls,t_full_s,t_consensus_s,speedup_real,speedup_pred
verify_consensus,0.0,,0.3,4,0.4026515808972775,64,0.796875,0.015625,13,18.223530124872923,48.699772029183805,0.3742015489097628,0.5513495780737501
verify_consensus,0.0,,0.5,8,0.2927973590370095,64,0.75,0.015625,16,11.828405130654573,98.21049736207351,0.12043931604425837,0.38574608468178795
verify_consensus,0.0,,1.0,16,0.2804019360340831,64,0.703125,0.015625,19,11.83636638103053,195.04150611395016,0.0606863975615288,0.20906042910561096
verify_consensus,0.0,,2.0,32,0.2757686676296667,64,0.640625,0.015625,23,11.78854171000421,385.1452127909288,0.03060804423500253,0.10888534507177006
