signal,ece,brier,mean_prob,test_accuracy,n_test
model_conf (raw),0.27500214284693025,0.27159854158572927,0.4883354761802637,0.21333333333333335,150
model_conf (calibrated),0.08664140847516164,0.17208078256646886,0.27112999817915484,0.21333333333333335,150
prob_var (calibrated),0.090360825594529,0.1724425354546984,0.2748460262694227,0.21333333333333335,150
selective[subnet_full_kl@λ1](alpha=0.1),,,0.006666666666666667,0.0,1
