mode,lam_target,gamma,baseline_tok_per_s,lam_draft,ffn_active,alpha,tv_distance,expected_toks_per_call,tok_per_s,tok_per_s_std,accept_rate,param_ratio,speedup
sweep,0.0,4,6.337638454188814,0.0001,1.0,0.9999396800994873,6.031990051269531e-05,4.987179487179487,19.921556459929082,1.076578794674828,0.9967948717948718,0.9997682557380214,3.143372188857205
sweep,0.0,4,6.337638454188814,0.0002,1.0,0.9998793005943298,0.00012069940567016602,5.0,20.45187563248221,0.20507635923779483,1.0,0.9997682557380214,3.227049914619964
sweep,0.0,4,6.337638454188814,0.0003,1.0,0.9998185634613037,0.00018143653869628906,5.0,20.544159801346556,0.21486869373101938,1.0,0.9997682557380214,3.2416112010567675
sweep,0.0,4,6.337638454188814,0.0004,1.0,0.9997584223747253,0.0002415776252746582,5.0,19.90709718514881,1.0766507826434497,1.0,0.9997682557380214,3.141090696328909
sweep,0.0,4,6.337638454188814,0.0005,1.0,0.9996980428695679,0.0003019571304321289,5.0,20.08025800743887,0.9703270385052716,1.0,0.9997682557380214,3.1684133060899016
sweep,0.0,4,6.337638454188814,0.0006,1.0,0.9996378421783447,0.00036215782165527344,5.0,20.72117396002271,0.03348799714261052,1.0,0.9997682557380214,3.269541819055205
sweep,0.0,4,6.337638454188814,0.0007,1.0,0.9995779395103455,0.000422060489654541,5.0,20.264513237284486,0.10227917254904335,1.0,0.9997682557380214,3.1974864744597116
sweep,0.0,4,6.337638454188814,0.0008,1.0,0.9995176792144775,0.00048232078552246094,5.0,20.53265372386439,0.23192259044339986,1.0,0.9997682557380214,3.239795686087692
sweep,0.0,4,6.337638454188814,0.0009,1.0,0.999457597732544,0.0005424022674560547,5.0,20.530781547472277,0.1932284713093906,1.0,0.9997682557380214,3.239500280092913
sweep,0.0,4,6.337638454188814,0.001,1.0,0.9993977546691895,0.0006022453308105469,5.0,20.52437737028048,0.23448815949408663,1.0,0.9997682557380214,3.238489781113192
sweep,0.0,4,6.337638454188814,0.0011,1.0,0.999337911605835,0.0006620883941650391,5.0,20.68272245053751,0.023045510489645826,1.0,0.9997682557380214,3.263474652276421
sweep,0.0,4,6.337638454188814,0.0012,1.0,0.9992780685424805,0.0007219314575195312,5.0,20.53239168988406,0.25765875271837335,1.0,0.9997682557380214,3.2397543404062965
sweep,0.0,4,6.337638454188814,0.0013,1.0,0.9992179870605469,0.000782012939453125,5.0,20.615184067037262,0.211612993966491,1.0,0.9997682557380214,3.2528179409495683
sweep,0.0,4,6.337638454188814,0.0014,1.0,0.999158501625061,0.0008414983749389648,5.0,20.49890603764588,0.22586786810665618,1.0,0.9997682557380214,3.234470723727903
sweep,0.0,4,6.337638454188814,0.0015,1.0,0.9990988969802856,0.0009011030197143555,5.0,20.588255072169126,0.24745783525581944,1.0,0.9997682557380214,3.248568882713951
sweep,0.0,4,6.337638454188814,0.0016,1.0,0.9990391731262207,0.0009608268737792969,4.961904761904762,20.36290496260949,0.35734603082675553,0.9904761904761905,0.9997682557380214,3.2130114568385935
sweep,0.0,4,6.337638454188814,0.0017,1.0,0.9989797472953796,0.0010202527046203613,5.0,20.71035711577315,0.01883391301048223,1.0,0.9997682557380214,3.2678350564609437
sweep,0.0,4,6.337638454188814,0.0018,1.0,0.9989206194877625,0.0010793805122375488,5.0,20.54560707875005,0.24487455144019238,1.0,0.9997682557380214,3.2418395633109345
sweep,0.0,4,6.337638454188814,0.002,1.0,0.9988020658493042,0.0011979341506958008,5.0,20.519996732026055,0.2250363638222763,1.0,0.9997682557380214,3.2377985712428137
sweep,0.0,4,6.337638454188814,0.0021,1.0,0.9987431764602661,0.0012568235397338867,5.0,20.350909923572644,0.40166881800934207,1.0,0.9997682557380214,3.2111187898580527
sweep,0.0,4,6.337638454188814,0.0022,1.0,0.9986840486526489,0.0013159513473510742,4.949685534591195,20.36035174921541,0.36850073547136375,0.9874213836477987,0.9997682557380214,3.2126085917315765
sweep,0.0,4,6.337638454188814,0.0024,1.0,0.9985658526420593,0.0014341473579406738,5.0,20.671903923896256,0.21059534704840197,1.0,0.9997682557380214,3.2617676242218137
sweep,0.0,4,6.337638454188814,0.0026,1.0,0.9984480142593384,0.001551985740661621,4.89937106918239,20.302685136387563,0.3926675818838438,0.9748427672955975,0.9997682557380214,3.2035095222209558
sweep,0.0,4,6.337638454188814,0.0028,1.0,0.9983304738998413,0.0016695261001586914,5.0,20.6160542941588,0.23677872533870037,1.0,0.9997682557380214,3.2529552518939884
sweep,0.0,4,6.337638454188814,0.003,1.0,0.998213529586792,0.0017864704132080078,4.961904761904762,20.03181638593073,0.33280025452952955,0.9904761904761905,0.9997682557380214,3.1607698247114193
sweep,0.0,4,6.337638454188814,0.0032,1.0,0.9980965852737427,0.0019034147262573242,5.0,20.681324811806764,0.1979602113392899,1.0,0.9997682557380214,3.2632541223833305
sweep,0.0,4,6.337638454188814,0.0034,1.0,0.997979998588562,0.0020200014114379883,5.0,20.828520520920808,0.010982673672373662,1.0,0.9997682557380214,3.286479762371796
sweep,0.0,4,6.337638454188814,0.0037,1.0,0.9978057742118835,0.002194225788116455,5.0,20.659520053288386,0.24136467860323138,1.0,0.9997682557380214,3.2598136044875887
sweep,0.0,4,6.337638454188814,0.0039,1.0,0.9976899027824402,0.0023100972175598145,4.961904761904762,20.415799379866943,0.27513697909182705,0.9904761904761905,0.9997682557380214,3.221357533636725
sweep,0.0,4,6.337638454188814,0.0042,1.0,0.9975168108940125,0.002483189105987549,4.987179487179487,20.60416060252921,0.23795386176084363,0.9967948717948718,0.9997682557380214,3.2510785762654297
sweep,0.0,4,6.337638454188814,0.0045,1.0,0.9973441958427429,0.00265580415725708,5.0,20.709365618703448,0.23888857473848066,1.0,0.9997682557380214,3.267678610637019
sweep,0.0,4,6.337638454188814,0.0048,1.0,0.9971720576286316,0.002827942371368408,4.89937106918239,20.316442277987356,0.40350068445690773,0.9748427672955975,0.9997682557380214,3.205680226924172
sweep,0.0,4,6.337638454188814,0.0052,1.0,0.9969441294670105,0.003055870532989502,4.8859492708549315,20.04689440726341,0.5742614524990917,0.9714873177137328,0.9997682557380214,3.1631489476988968
sweep,0.0,4,6.337638454188814,0.0055,1.0,0.9967736005783081,0.0032263994216918945,4.757902591235925,19.845750878623335,0.7745114419157788,0.9394756478089811,0.9997682557380214,3.1314110172230536
sweep,0.0,4,6.337638454188814,0.0059,1.0,0.9965474009513855,0.003452599048614502,4.878088578088578,20.20027309609386,0.8660088120374944,0.9695221445221446,0.9997682557380214,3.187350184474888
sweep,0.0,4,6.337638454188814,0.0064,1.0,0.99626624584198,0.0037337541580200195,4.924044508950169,20.458984177508484,0.5347788347326868,0.9810111272375424,0.9997682557380214,3.2281715540251863
sweep,0.0,4,6.337638454188814,0.0068,1.0,0.9960424900054932,0.003957509994506836,4.949685534591195,20.30561906539018,0.1579258864797678,0.9874213836477987,0.9997682557380214,3.2039724594843895
sweep,0.0,4,6.337638454188814,0.0073,1.0,0.9957649111747742,0.00423508882522583,4.949685534591195,20.42060624146687,0.30409727679775256,0.9874213836477987,0.9997682557380214,3.222115996214651
sweep,0.0,4,6.337638454188814,0.0078,1.0,0.9954888820648193,0.004511117935180664,4.864045434687637,19.68993129331916,0.5343744758955298,0.9660113586719091,0.9997682557380214,3.106824637543855
sweep,0.0,4,6.337638454188814,0.0084,1.0,0.9951598048210144,0.004840195178985596,4.924874191229331,20.433728833461675,0.5710908262797084,0.9812185478073329,0.9997682557380214,3.2241865769348452
sweep,0.0,4,6.337638454188814,0.009,1.0,0.9948338270187378,0.005166172981262207,4.825170543409537,19.741868631077754,0.5127244487492468,0.9562926358523843,0.9997682557380214,3.115019699179829
sweep,0.0,4,6.337638454188814,0.0096,1.0,0.9945101737976074,0.005489826202392578,4.924044508950169,20.36448226586319,0.2673387625617142,0.9810111272375424,0.9997682557380214,3.213260335543982
sweep,0.0,4,6.337638454188814,0.0103,1.0,0.9941363334655762,0.005863666534423828,4.911590296495957,20.349358733625763,0.2586279365094494,0.9778975741239893,0.9997682557380214,3.210874031505538
sweep,0.0,4,6.337638454188814,0.011,1.0,0.9937658309936523,0.006234169006347656,4.961904761904762,20.54303492610452,0.38678787093246064,0.9904761904761905,0.9997682557380214,3.2414337098271613
sweep,0.0,4,6.337638454188814,0.0118,1.0,0.9933471083641052,0.006652891635894775,4.839005694553557,19.93229971361379,0.6898954619100981,0.9597514236383892,0.9997682557380214,3.1450673397816957
sweep,0.0,4,6.337638454188814,0.0127,1.0,0.9928812980651855,0.007118701934814453,4.987179487179487,20.70788728307605,0.26216664520710137,0.9967948717948718,0.9997682557380214,3.267445347783973
sweep,0.0,4,6.337638454188814,0.0136,1.0,0.9924222826957703,0.007577717304229736,4.8878306878306885,20.26011212310411,0.4979974256491429,0.9719576719576719,0.9997682557380214,3.1967920337445794
sweep,0.0,4,6.337638454188814,0.0146,1.0,0.9919193983078003,0.008080601692199707,4.911590296495957,20.336469804818474,0.4815067900854713,0.9778975741239893,0.9997682557380214,3.20884031991084
sweep,0.0,4,6.337638454188814,0.0156,1.0,0.9914236068725586,0.008576393127441406,4.805805805805806,20.045025798343115,0.48018356416689734,0.9514514514514515,0.9997682557380214,3.162854104606505
sweep,0.0,4,6.337638454188814,0.0167,1.0,0.9908870458602905,0.009112954139709473,4.9362637362637365,20.734898765317716,0.30468334364533645,0.9840659340659341,0.9997682557380214,3.2717074214943804
sweep,0.0,4,6.337638454188814,0.0179,1.0,0.9903124570846558,0.009687542915344238,4.9259259259259265,20.501695709934115,0.35150419952480794,0.9814814814814815,0.9997682557380214,3.2349108990879207
sweep,0.0,4,6.337638454188814,0.0192,1.0,0.9897021055221558,0.010297894477844238,4.910622710622711,20.522221321240707,0.28001081678056444,0.9776556776556776,0.9997682557380214,3.2381495835687346
sweep,0.0,4,6.337638454188814,0.0206,1.0,0.9890591502189636,0.010940849781036377,4.806227106227106,19.663332289179934,0.24979475768958037,0.9515567765567766,0.9997682557380214,3.1026276477137325
sweep,0.0,4,6.337638454188814,0.0221,1.0,0.9883858561515808,0.01161414384841919,4.924044508950169,20.555568752087535,0.5311687083126392,0.9810111272375424,0.9997682557380214,3.2434113906421227
sweep,0.0,4,6.337638454188814,0.0236,1.0,0.9877293109893799,0.012270689010620117,4.77828932955013,19.447031041957175,0.2763873607364922,0.9445723323875326,0.9997682557380214,3.068498019022181
