lam_draft,k,method,auroc_err,spearman_nll,mean_correct,mean_wrong,separation,err_rate,n_positions
0.5,8,epistemic_MI,0.6237778829993137,0.24483393942700532,0.045712992548942566,0.056422315537929535,0.010709322988986969,0.6905059814453125,65536
0.5,8,variation_ratio,0.6427606840065437,0.23041280295844008,0.07668367773294449,0.17178143560886383,0.09509775787591934,0.6905059814453125,65536
0.5,8,prob_var,0.36204073594359,-0.2644111520908539,0.004557590465992689,0.00232292921282351,-0.002234661253169179,0.6905059814453125,65536
0.5,8,subnet_full_kl,0.6107442733080649,0.21658784201316025,0.1849295198917389,0.21266107261180878,0.027731552720069885,0.6905059814453125,65536
0.5,8,full_entropy,0.7765744208107959,0.5985290822269457,2.7309677600860596,4.599338531494141,1.868370771408081,0.6905059814453125,65536
1.0,8,epistemic_MI,0.5953096965237755,0.16569018604065927,0.026103593409061432,0.03043941594660282,0.0043358225375413895,0.6905059814453125,65536
1.0,8,variation_ratio,0.6071074414376855,0.17624495727751802,0.06353843212127686,0.1314305067062378,0.06789207458496094,0.6905059814453125,65536
1.0,8,prob_var,0.3570128054087738,-0.2829421431538995,0.002796161687001586,0.0013729250058531761,-0.0014232366811484098,0.6905059814453125,65536
1.0,8,subnet_full_kl,0.5979523534225478,0.1878906178228304,0.23524552583694458,0.25977060198783875,0.024525076150894165,0.6905059814453125,65536
1.0,8,full_entropy,0.7765744208107959,0.5985290822269457,2.7309677600860596,4.599338531494141,1.868370771408081,0.6905059814453125,65536
2.0,8,epistemic_MI,0.5777538534224406,0.13641155194162924,0.0352262407541275,0.03943382948637009,0.004207588732242584,0.6905059814453125,65536
2.0,8,variation_ratio,0.6104205443475343,0.18078593445978944,0.07624612003564835,0.1474570780992508,0.07121095806360245,0.6905059814453125,65536
2.0,8,prob_var,0.3488920163876668,-0.2994619476362672,0.00387917784973979,0.0017156628891825676,-0.0021635149605572224,0.6905059814453125,65536
2.0,8,subnet_full_kl,0.5845806537514064,0.16252668006985538,0.30189773440361023,0.32350417971611023,0.0216064453125,0.6905059814453125,65536
2.0,8,full_entropy,0.7765744208107959,0.5985290822269457,2.7309677600860596,4.599338531494141,1.868370771408081,0.6905059814453125,65536
