signal,ece,brier,mean_prob,test_accuracy,n_test
model_conf (raw),0.020049774523094758,0.15114802380216485,0.32696065306663513,0.3089599609375,32768
model_conf (calibrated),0.02347777041820774,0.15146316376044627,0.3087495728786234,0.3089599609375,32768
variation_ratio (calibrated),0.03504207909387984,0.20098543252944015,0.3101719353774806,0.3089599609375,32768
selective[model_conf](alpha=0.1),,,0.07269287109375,0.9126784214945424,2382
